DATE,OPEN,HIGH,LOW,PREV. CLOSE,CLOSE,VWAP,NO OF TRADES
28/06/2023,572.25,574.0,568.55,566.1,569.8,571.17,243601
27/06/2023,558.25,567.95,555.65,557.05,566.1,560.63,211284
26/06/2023,556.0,558.5,554.5,554.6,557.05,556.75,164198
23/06/2023,562.0,562.1,553.8,562.95,554.6,556.89,218058
22/06/2023,566.35,569.0,561.05,566.35,562.95,564.62,199200
21/06/2023,567.4,569.5,565.65,567.4,566.35,567.46,219147
20/06/2023,568.85,569.45,562.55,568.85,567.4,565.75,216416
19/06/2023,571.25,572.75,565.9,571.25,568.85,568.29,213062
16/06/2023,568.75,574.7,567.05,566.5,571.25,570.69,178755
15/06/2023,576.0,576.7,565.25,576.55,566.5,571.49,232221
14/06/2023,577.0,578.55,575.25,576.4,576.55,576.96,122388
13/06/2023,579.45,581.4,574.25,578.65,576.4,576.44,198530
12/06/2023,580.0,581.5,577.7,578.7,578.65,579.37,129364
09/06/2023,588.0,589.1,576.75,588.5,578.7,580.81,253490
08/06/2023,589.95,593.95,586.35,589.2,588.5,591.21,140988
07/06/2023,588.0,590.6,586.0,585.35,589.2,588.49,170307
06/06/2023,588.0,588.9,583.0,587.2,585.35,585.23,140444
05/06/2023,588.5,589.8,586.0,587.2,587.2,587.86,143514
02/06/2023,584.7,588.9,583.0,582.75,587.2,586.45,157397
01/06/2023,581.8,586.4,581.0,579.85,582.75,584.03,170662
31/05/2023,583.8,584.8,577.5,592.8,579.85,581.09,209733
30/05/2023,595.0,595.5,591.5,595.0,592.8,593.57,156739
29/05/2023,590.0,596.4,588.05,586.0,595.0,593.5,323484
26/05/2023,581.25,587.75,580.55,581.25,586.0,585.13,117540
25/05/2023,582.0,582.9,577.0,582.7,581.25,580.06,151117
24/05/2023,579.8,585.25,578.25,581.6,582.7,583.06,158808
23/05/2023,578.9,583.7,576.8,577.15,581.6,580.66,154666
22/05/2023,577.5,580.3,573.45,575.15,577.15,577.12,205172
19/05/2023,579.0,586.25,569.9,574.2,575.15,576.07,351340
18/05/2023,590.3,593.9,571.4,586.3,574.2,583.0,403645
17/05/2023,586.0,590.5,579.5,586.3,586.3,584.82,251054
16/05/2023,584.0,590.4,582.0,581.9,586.3,586.03,233142
15/05/2023,578.75,584.0,574.65,578.15,581.9,581.35,176477
12/05/2023,574.7,580.75,571.55,573.45,578.15,576.81,148890
11/05/2023,572.2,580.0,572.0,572.2,573.45,574.59,183896
10/05/2023,575.0,575.0,563.25,573.5,572.2,568.87,223302
09/05/2023,585.0,586.45,572.1,583.6,573.5,576.83,247801
08/05/2023,577.65,587.6,577.35,576.5,583.6,582.04,159186
05/05/2023,580.2,588.25,575.05,580.0,576.5,582.81,182941
04/05/2023,570.2,580.8,568.5,570.5,580.0,576.93,155082
03/05/2023,570.65,575.0,569.0,575.3,570.5,572.27,151234
02/05/2023,580.0,580.85,573.15,578.3,575.3,577.47,272846
28/04/2023,567.8,580.45,565.5,564.75,578.3,572.14,172070
27/04/2023,565.0,567.4,561.1,566.35,564.75,564.04,213129
26/04/2023,562.0,567.0,556.45,561.8,566.35,562.67,195651
25/04/2023,555.0,567.9,555.0,554.6,561.8,562.34,250488
24/04/2023,543.8,555.55,543.5,543.15,554.6,550.47,210456
21/04/2023,545.0,546.4,539.7,544.8,543.15,542.35,188920
20/04/2023,541.2,545.45,536.65,540.3,544.8,541.56,146793
19/04/2023,544.0,547.5,538.25,545.85,540.3,543.32,142208
18/04/2023,545.35,548.5,540.5,544.0,545.85,545.32,218269
17/04/2023,528.0,545.0,528.0,532.95,544.0,539.11,229953
13/04/2023,529.3,534.25,527.15,528.2,532.95,530.4,168188
12/04/2023,533.2,534.0,526.0,532.1,528.2,529.65,170950
11/04/2023,530.85,535.7,527.15,526.3,532.1,533.07,176416
10/04/2023,529.25,530.4,524.4,527.65,526.3,527.28,138261
06/04/2023,524.0,533.7,521.65,523.0,527.65,528.66,232693
05/04/2023,527.0,527.6,519.05,526.75,523.0,522.57,174172
03/04/2023,524.75,528.5,522.1,523.75,526.75,525.94,137769
31/03/2023,520.65,524.9,519.35,516.5,523.75,522.06,210617
29/03/2023,509.0,518.0,506.3,508.1,516.5,512.21,216794
28/03/2023,511.45,511.75,503.85,510.15,508.1,507.96,199721
27/03/2023,507.0,514.15,501.55,505.35,510.15,509.28,224703
24/03/2023,514.5,514.95,503.45,512.75,505.35,510.24,194898
23/03/2023,519.4,521.0,511.5,521.55,512.75,517.21,261069
22/03/2023,522.2,527.0,520.1,521.85,521.55,523.63,155900
21/03/2023,522.0,523.45,516.45,519.2,521.85,520.33,295453
20/03/2023,526.6,526.6,515.0,529.8,519.2,518.98,251690
17/03/2023,528.65,531.6,520.1,524.5,529.8,526.55,185372
16/03/2023,518.4,529.35,514.3,517.55,524.5,521.02,290873
15/03/2023,529.8,532.0,515.55,525.4,517.55,524.47,252252
14/03/2023,527.65,532.8,520.0,530.0,525.4,524.87,262481
13/03/2023,547.0,553.15,528.45,547.35,530.0,537.53,211599
10/03/2023,553.1,554.95,545.0,558.9,547.35,548.4,223557
09/03/2023,564.75,565.75,558.0,564.8,558.9,561.63,129019
08/03/2023,560.0,565.5,556.45,561.7,564.8,561.23,163357
06/03/2023,564.9,567.9,559.0,561.2,561.7,563.48,199841
03/03/2023,542.0,564.3,541.75,533.75,561.2,557.8,301105
02/03/2023,535.95,539.9,532.5,536.7,533.75,535.45,150813
01/03/2023,523.25,537.4,523.1,522.8,536.7,532.39,247974
28/02/2023,527.25,528.45,521.05,527.7,522.8,523.97,138340
27/02/2023,521.1,529.8,519.0,521.05,527.7,525.49,175532
24/02/2023,524.2,527.5,517.6,521.0,521.05,522.25,174036
23/02/2023,516.95,524.0,511.35,516.35,521.0,518.82,209593
22/02/2023,520.75,521.9,512.5,523.45,516.35,516.6,279932
21/02/2023,527.1,528.95,522.4,525.15,523.45,525.46,201064
20/02/2023,532.0,533.95,522.15,531.0,525.15,526.99,207013
17/02/2023,538.5,539.65,527.75,540.1,531.0,532.32,220159
16/02/2023,546.85,546.85,538.5,542.25,540.1,542.25,219926
15/02/2023,540.0,544.65,536.8,540.85,542.25,541.31,207687
14/02/2023,539.95,544.6,530.75,537.5,540.85,536.92,221342
13/02/2023,554.0,556.9,533.3,553.05,537.5,539.69,248043
10/02/2023,546.5,557.25,546.5,550.8,553.05,553.81,179516
09/02/2023,552.0,552.0,542.8,549.75,550.8,548.33,147809
08/02/2023,550.0,554.5,545.5,547.1,549.75,549.76,244248
07/02/2023,548.0,551.4,541.05,545.4,547.1,546.83,343935
06/02/2023,558.8,558.8,536.55,544.2,545.4,545.24,266976
03/02/2023,536.0,545.95,519.15,528.1,544.2,535.23,444091
02/02/2023,520.2,532.65,502.5,527.35,528.1,521.91,471242
01/02/2023,561.4,565.0,499.35,553.5,527.35,541.41,498247
31/01/2023,545.0,557.0,537.85,538.2,553.5,550.83,284762
30/01/2023,536.0,554.35,525.2,539.95,538.2,536.97,590951
27/01/2023,568.0,568.55,532.25,568.7,539.95,548.08,501251
25/01/2023,595.85,595.85,567.4,594.35,568.7,574.28,441882
24/01/2023,603.5,604.6,593.05,600.45,594.35,597.94,143693
23/01/2023,598.5,601.75,592.95,592.2,600.45,599.43,122483
20/01/2023,593.8,596.6,590.8,589.85,592.2,593.93,114106
19/01/2023,591.0,591.75,587.55,591.45,589.85,589.57,159313
18/01/2023,595.9,597.15,587.6,592.95,591.45,591.61,187691
17/01/2023,603.0,606.0,586.05,603.0,592.95,593.93,179000
16/01/2023,603.0,606.1,600.6,600.1,603.0,603.22,114056
13/01/2023,597.9,602.9,593.65,594.9,600.1,598.73,122377
12/01/2023,597.9,597.9,590.1,596.7,594.9,593.57,195861
